Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR
ita-2017-2018,2017-12-23,19:45,Juventus,AS Roma,1,0,1,H,W,L,1,0,1,H,W,L
ita-2017-2018,2017-12-29,19:45,FC Crotone,SSC Napoli,0,1,1,A,L,W,0,1,1,A,L,W
ita-2017-2018,2017-12-30,11:30,ACF Fiorentina,AC Milan,1,1,2,D,D,D,0,0,0,D,D,D
ita-2017-2018,2017-12-30,14:00,Atalanta,Cagliari Calcio,1,2,3,A,L,W,0,2,2,A,L,W
ita-2017-2018,2017-12-30,14:00,Benevento Calcio,Chievo Verona,1,0,1,H,W,L,0,0,0,D,D,D
ita-2017-2018,2017-12-30,14:00,Bologna FC,Udinese Calcio,1,2,3,A,L,W,1,1,2,D,D,D
ita-2017-2018,2017-12-30,14:00,AS Roma,Sassuolo Calcio,1,1,2,D,D,D,1,0,1,H,W,L
ita-2017-2018,2017-12-30,14:00,Sampdoria,SPAL 2013 Ferrara,2,0,2,H,W,L,0,0,0,D,D,D
ita-2017-2018,2017-12-30,14:00,Torino FC,Genoa CFC,0,0,0,D,D,D,0,0,0,D,D,D
ita-2017-2018,2017-12-30,17:00,Inter,Lazio Roma,0,0,0,D,D,D,0,0,0,D,D,D
ita-2017-2018,2017-12-30,19:45,Hellas Verona,Juventus,1,3,4,A,L,W,0,1,1,A,L,W
ita-2017-2018,2018-01-05,17:00,Chievo Verona,Udinese Calcio,1,1,2,D,D,D,1,1,2,D,D,D
ita-2017-2018,2018-01-05,19:45,ACF Fiorentina,Inter,1,1,2,D,D,D,0,0,0,D,D,D
ita-2017-2018,2018-01-06,11:30,Torino FC,Bologna FC,3,0,3,H,W,L,1,0,1,H,W,L
ita-2017-2018,2018-01-06,14:00,AC Milan,FC Crotone,1,0,1,H,W,L,0,0,0,D,D,D
ita-2017-2018,2018-01-06,14:00,SSC Napoli,Hellas Verona,2,0,2,H,W,L,0,0,0,D,D,D
ita-2017-2018,2018-01-06,14:00,SPAL 2013 Ferrara,Lazio Roma,2,5,7,A,L,W,2,4,6,A,L,W
ita-2017-2018,2018-01-06,14:00,Benevento Calcio,Sampdoria,3,2,5,H,W,L,0,1,1,A,L,W
ita-2017-2018,2018-01-06,14:00,Genoa CFC,Sassuolo Calcio,1,0,1,H,W,L,0,0,0,D,D,D
ita-2017-2018,2018-01-06,17:00,AS Roma,Atalanta,1,2,3,A,L,W,0,2,2,A,L,W
ita-2017-2018,2018-01-06,19:45,Cagliari Calcio,Juventus,0,1,1,A,L,W,0,0,0,D,D,D
ita-2017-2018,2018-01-21,11:30,Atalanta,SSC Napoli,0,1,1,A,L,W,0,0,0,D,D,D
ita-2017-2018,2018-01-21,14:00,Bologna FC,Benevento Calcio,3,0,3,H,W,L,1,0,1,H,W,L
ita-2017-2018,2018-01-21,14:00,Lazio Roma,Chievo Verona,5,1,6,H,W,L,2,1,3,H,W,L
ita-2017-2018,2018-01-21,14:00,Hellas Verona,FC Crotone,0,3,3,A,L,W,0,1,1,A,L,W
ita-2017-2018,2018-01-21,14:00,Sampdoria,ACF Fiorentina,3,1,4,H,W,L,1,0,1,H,W,L
ita-2017-2018,2018-01-21,14:00,Udinese Calcio,SPAL 2013 Ferrara,1,1,2,D,D,D,1,0,1,H,W,L
ita-2017-2018,2018-01-21,14:00,Sassuolo Calcio,Torino FC,1,1,2,D,D,D,0,1,1,A,L,W
ita-2017-2018,2018-01-21,17:00,Cagliari Calcio,AC Milan,1,2,3,A,L,W,1,2,3,A,L,W
ita-2017-2018,2018-01-21,19:45,Inter,AS Roma,1,1,2,D,D,D,0,1,1,A,L,W
ita-2017-2018,2018-01-22,19:45,Juventus,Genoa CFC,1,0,1,H,W,L,1,0,1,H,W,L
ita-2017-2018,2018-01-24,17:30,Lazio Roma,Udinese Calcio,3,0,3,H,W,L,1,0,1,H,W,L
ita-2017-2018,2018-01-24,19:45,Sampdoria,AS Roma,1,1,2,D,D,D,1,0,1,H,W,L
ita-2017-2018,2018-01-27,17:00,Sassuolo Calcio,Atalanta,0,3,3,A,L,W,0,1,1,A,L,W
ita-2017-2018,2018-01-27,19:45,Chievo Verona,Juventus,0,2,2,A,L,W,0,0,0,D,D,D
ita-2017-2018,2018-01-28,11:30,SPAL 2013 Ferrara,Inter,1,1,2,D,D,D,0,0,0,D,D,D
ita-2017-2018,2018-01-28,14:00,Torino FC,Benevento Calcio,3,0,3,H,W,L,3,0,3,H,W,L
ita-2017-2018,2018-01-28,14:00,SSC Napoli,Bologna FC,3,1,4,H,W,L,2,1,3,H,W,L
ita-2017-2018,2018-01-28,14:00,FC Crotone,Cagliari Calcio,1,1,2,D,D,D,1,1,2,D,D,D
ita-2017-2018,2018-01-28,14:00,ACF Fiorentina,Hellas Verona,1,4,5,A,L,W,0,2,2,A,L,W
ita-2017-2018,2018-01-28,14:00,Genoa CFC,Udinese Calcio,0,1,1,A,L,W,0,0,0,D,D,D
ita-2017-2018,2018-01-28,17:00,AC Milan,Lazio Roma,2,1,3,H,W,L,2,1,3,H,W,L
ita-2017-2018,2018-01-28,19:45,AS Roma,Sampdoria,0,1,1,A,L,W,0,0,0,D,D,D
ita-2017-2018,2018-02-03,17:00,Sampdoria,Torino FC,1,1,2,D,D,D,1,1,2,D,D,D
ita-2017-2018,2018-02-03,19:45,Inter,FC Crotone,1,1,2,D,D,D,1,0,1,H,W,L
ita-2017-2018,2018-02-04,11:30,Hellas Verona,AS Roma,0,1,1,A,L,W,0,1,1,A,L,W
ita-2017-2018,2018-02-04,14:00,Atalanta,Chievo Verona,1,0,1,H,W,L,0,0,0,D,D,D
ita-2017-2018,2018-02-04,14:00,Bologna FC,ACF Fiorentina,1,2,3,A,L,W,1,1,2,D,D,D
ita-2017-2018,2018-02-04,14:00,Udinese Calcio,AC Milan,1,1,2,D,D,D,0,1,1,A,L,W
ita-2017-2018,2018-02-04,14:00,Juventus,Sassuolo Calcio,7,0,7,H,W,L,4,0,4,H,W,L
ita-2017-2018,2018-02-04,14:00,Cagliari Calcio,SPAL 2013 Ferrara,2,0,2,H,W,L,1,0,1,H,W,L
ita-2017-2018,2018-02-04,19:45,Benevento Calcio,SSC Napoli,0,2,2,A,L,W,0,1,1,A,L,W
